Memory Length,4000,
Trigger Level,1.000E+00,
Source,CH2,
Probe,1X,
Vertical Units,V,
Vertical Scale,1.000E+00,
Vertical Position,1.080E+00,
Horizontal Units,s,
Horizontal Scale,5.000E-03,
Horizontal Position,1.520E-02,
Horizontal Mode,Main,
Sampling Period,2.000E-05,
Firmware,V1.13,
Time, ,
Mode,Fast,
Waveform Data,
25,
25,
-24,
-25,
-24,
-24,
-24,
-24,
-25,
-25,
-25,
-25,
-24,
-25,
-25,
-24,
-24,
-24,
-25,
-24,
-25,
-24,
-24,
-25,
-24,
-24,
-24,
-25,
-24,
-24,
-25,
-25,
-24,
-24,
-25,
-24,
-25,
-24,
-24,
-24,
-24,
-24,
-25,
-24,
-24,
-25,
-25,
-24,
-24,
-24,
-25,
-24,
-24,
-24,
-25,
-25,
-24,
-25,
-24,
-25,
-25,
-25,
-24,
-24,
-25,
-24,
-24,
-25,
-25,
-25,
-24,
-24,
-25,
-25,
-25,
-24,
-24,
-25,
-24,
-24,
-24,
-24,
-24,
-25,
-24,
-25,
-24,
-24,
-24,
-24,
-24,
-24,
-25,
-25,
-25,
-25,
-25,
-24,
-24,
-25,
-25,
-24,
-25,
-25,
-25,
-24,
-24,
-25,
-25,
-24,
-24,
-25,
-24,
-25,
-25,
-25,
-24,
-24,
-24,
-24,
-25,
-24,
-24,
-24,
-25,
-24,
-24,
-24,
-25,
-24,
-25,
-25,
-25,
-24,
-24,
-25,
-25,
-25,
-25,
-25,
-24,
-25,
-25,
-25,
-25,
-24,
-25,
-25,
-25,
-24,
-24,
-25,
-24,
-24,
-25,
-25,
-24,
-24,
-24,
-25,
-25,
-24,
-25,
-24,
-24,
-24,
-25,
-24,
-25,
-25,
-24,
-25,
-25,
-25,
-25,
-24,
-24,
-25,
-24,
-25,
-25,
-25,
-24,
-25,
-24,
-25,
-25,
-25,
-24,
-24,
-25,
-25,
-25,
-24,
-24,
-25,
-25,
-25,
-24,
-25,
-24,
-25,
-24,
-25,
-24,
-24,
-24,
-24,
-24,
-25,
-25,
-24,
-24,
-25,
-24,
-25,
-24,
-25,
-25,
-25,
-24,
-24,
-24,
-25,
-24,
-24,
-25,
-25,
-25,
-24,
-24,
-25,
-25,
-24,
-24,
-24,
-25,
-25,
-25,
-25,
-24,
-25,
-24,
-25,
-24,
-25,
-25,
-25,
-24,
-25,
-25,
-25,
-24,
-25,
-24,
-24,
-25,
-25,
-25,
-25,
-24,
-25,
-24,
-24,
-24,
-25,
-24,
-25,
-25,
-25,
-24,
-25,
-25,
-24,
-25,
-25,
-24,
-24,
-25,
-24,
-26,
-25,
-25,
-25,
-24,
-24,
-25,
-25,
-25,
-24,
-25,
-25,
-25,
-24,
-25,
-25,
-24,
-25,
-24,
-25,
-25,
-24,
-24,
-25,
-25,
-25,
-25,
-25,
-25,
-25,
-25,
-24,
-25,
-24,
-24,
-24,
-25,
-25,
-24,
-25,
-25,
-25,
-25,
