X--Trace 1::[V(5) | V(IN)],Y--Trace 1::[V(5) | V(IN)],,X--Trace 2::[V(4) | V(OUT)],Y--Trace 2::[V(4) | V(OUT)]
0.00338885,1,,0.00338885,1
0.0034201,1,,0.0034201,1
0.00345135,1,,0.00345135,1
0.0034826,1,,0.0034826,1
0.00351385,1,,0.00351385,1
0.0035451,1,,0.0035451,1
0.00357635,1,,0.00357635,1
0.0036076,1,,0.0036076,1
0.00363885,1,,0.00363885,1
0.0036701,1,,0.0036701,1
0.00370135,1,,0.00370135,1
0.0037326,1,,0.0037326,1
0.00376385,1,,0.00376385,1
0.0037951,1,,0.0037951,1
0.00382635,1,,0.00382635,1
0.0038576,1,,0.0038576,1
0.00388885,1,,0.00388885,1
0.0039201,1,,0.0039201,1
0.00395135,1,,0.00395135,1
0.0039826,1,,0.0039826,1
0.004,1,,0.004,1
